DATAFLOW,LAST UPDATE,freq,accident,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2023,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HR,2024,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2008,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2009,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2012,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2013,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2015,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2016,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2017,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2018,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2019,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2020,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2021,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2022,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2023,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,HU,2024,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2009,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2012,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2013,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2015,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2016,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2017,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2018,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2019,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2020,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2022,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2023,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,PL,2024,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2006,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2007,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2008,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2009,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2011,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2012,4,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2013,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2015,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2016,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,RO,2017,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,SK,2010,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,SK,2011,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,SK,2012,2,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,DGD,NR,SK,2013,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2009,18,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2010,19,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2011,14,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2012,12,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2013,25,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2014,19,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2015,28,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2016,12,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2017,14,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2021,11,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2022,9,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2023,11,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,AT,2024,6,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2010,3,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2011,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2012,5,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2013,4,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2014,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2015,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2020,1,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2021,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,BG,2022,0,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,1995,32,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,1996,12,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,1997,27,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,1998,16,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,1999,17,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2000,19,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2001,15,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2002,14,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2003,23,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2004,24,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2005,23,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2006,19,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2007,19,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2008,10,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2009,11,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2010,7,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2011,9,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2012,3,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2013,7,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2014,6,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2015,12,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2016,20,,
ESTAT:IWW_AC_NBAC(1.0),11/09/25 23:00:00,A,TOTAL,NR,CZ,2017,11,,
