DATAFLOW,LAST UPDATE,freq,tra_cov,nst07,typpack,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2011,39,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2012,32,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2013,17,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2014,28,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2015,36,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2016,24,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2017,85,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2018,29,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2019,35,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2020,41,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2021,49,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2022,74,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2023,20,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,BG,2024,55,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2008,6,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2009,13,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2010,10,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2011,5,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2012,8,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2013,4,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2014,4,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2015,2,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2016,2,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2017,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2018,0,n,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2019,0,n,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2020,2,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2021,2,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2022,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2023,0,n,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,CZ,2024,0,n,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2007,3143,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2008,3124,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2009,3457,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2010,3536,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2011,3100,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2012,3346,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2013,3415,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2014,3397,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2015,3077,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2016,3248,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2017,3023,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2018,2448,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2019,2840,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2020,3116,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2021,3218,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2022,2620,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2023,2562,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,DE,2024,2839,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2008,5063,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2009,5312,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2010,5704,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2011,5133,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2012,5596,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2013,5714,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2014,5617,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2015,5281,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2016,5300,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2017,5150,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2018,4355,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU15,2019,4761,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2008,5371,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2009,5744,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2010,6189,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2011,5480,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2012,6062,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2013,6110,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2014,6029,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2015,5745,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2016,5689,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2017,5559,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2018,4613,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU25,2019,5173,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2008,6812,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2009,8395,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2010,9188,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2011,7258,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2012,9162,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2013,8191,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2014,8513,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2015,9764,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2016,8769,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2017,8063,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2018,6496,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2007,2019,7794,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2008,6813,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2009,8395,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2010,9188,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2011,7259,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2012,9164,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2013,8195,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2014,8519,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2015,9768,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2016,8771,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2017,8064,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2018,6496,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2019,7797,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2020,9845,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2021,8573,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2022,6742,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2023,7472,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU27_2020,2024,7933,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2008,6813,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2009,8395,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2010,9188,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2011,7259,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2012,9164,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2013,8195,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2014,8519,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2015,9768,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2016,8771,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2017,8064,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2018,6496,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,EU28,2019,7797,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2007,890,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2008,906,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2009,906,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2010,951,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2011,839,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2012,944,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2013,961,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2014,927,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2015,951,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2016,829,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2017,882,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2018,829,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2019,842,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2020,656,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2021,627,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2022,716,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2023,574,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,FR,2024,635,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2008,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2009,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2010,0,n,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2011,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2012,2,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2013,5,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2014,6,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2015,4,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2016,3,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2017,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2018,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2019,3,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2020,12,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2021,4,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2022,3,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2023,1,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HR,2024,2,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HU,2007,366,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HU,2008,297,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HU,2009,413,,
ESTAT:IWW_GO_ATYGO(1.0),26/09/25 23:00:00,A,INTL,GT01,EMP_CONT,MIO_TKM,HU,2010,466,,
